p,killed_Q0,killed_Q1,survive_Q1,hazard_binary,hazard_count,hazard_harmonic,rank_binary,rank_count,rank_harmonic
52553,0,0,1,0.0,0.0,0.0,1,1,1
64601,0,0,1,0.0,0.0,0.0,2,2,2
67783,0,0,1,0.0,0.0,0.0,3,3,3
67901,0,0,1,0.0,0.0,0.0,4,4,4
68993,0,0,1,0.0,0.0,0.0,5,5,5
73369,0,0,1,0.0,0.0,0.0,6,6,6
77563,0,0,1,0.0,0.0,0.0,7,7,7
78553,0,0,1,0.0,0.0,0.0,8,8,8
79309,0,0,1,0.0,0.0,0.0,9,9,9
79531,0,0,1,0.0,0.0,0.0,10,10,10
81973,0,0,1,0.0,0.0,0.0,11,11,11
82549,0,0,1,0.0,0.0,0.0,12,12,12
83407,0,0,1,0.0,0.0,0.0,13,13,13
83653,0,0,1,0.0,0.0,0.0,14,14,14
83689,0,0,1,0.0,0.0,0.0,15,15,15
84421,0,0,1,0.0,0.0,0.0,16,16,16
86249,0,0,1,0.0,0.0,0.0,17,17,17
88807,0,0,1,0.0,0.0,0.0,18,18,18
90007,0,0,1,0.0,0.0,0.0,19,19,19
90199,0,0,1,0.0,0.0,0.0,20,20,20
90679,0,0,1,0.0,0.0,0.0,21,21,21
91019,0,0,1,0.0,0.0,0.0,22,22,22
92639,0,0,1,0.0,0.0,0.0,23,23,23
95083,0,0,1,0.0,0.0,0.0,24,24,24
95911,0,0,1,0.0,0.0,0.0,25,25,25
96043,0,0,1,0.0,0.0,0.0,26,26,26
96079,0,0,1,0.0,0.0,0.0,27,27,27
96337,0,0,1,0.0,0.0,0.0,28,28,28
96479,0,0,1,0.0,0.0,0.0,29,29,29
96527,0,0,1,0.0,0.0,0.0,30,30,30
96589,0,0,1,0.0,0.0,0.0,31,31,31
96763,0,0,1,0.0,0.0,0.0,32,32,32
97259,0,0,1,0.0,0.0,0.0,33,33,33
98809,0,0,1,0.0,0.0,0.0,34,34,34
100523,0,0,1,0.0,0.0,0.0,35,35,35
102061,0,0,1,0.0,0.0,0.0,36,36,36
102077,0,0,1,0.0,0.0,0.0,37,37,37
102197,0,0,1,0.0,0.0,0.0,38,38,38
102481,0,0,1,0.0,0.0,0.0,39,39,39
102563,0,0,1,0.0,0.0,0.0,40,40,40
103471,0,0,1,0.0,0.0,0.0,41,41,41
104239,0,0,1,0.0,0.0,0.0,42,42,42
104543,0,0,1,0.0,0.0,0.0,43,43,43
104879,0,0,1,0.0,0.0,0.0,44,44,44
105653,0,0,1,0.0,0.0,0.0,45,45,45
106123,0,0,1,0.0,0.0,0.0,46,46,46
106181,0,0,1,0.0,0.0,0.0,47,47,47
106391,0,0,1,0.0,0.0,0.0,48,48,48
106417,0,0,1,0.0,0.0,0.0,49,49,49
106649,0,0,1,0.0,0.0,0.0,50,50,50
106787,0,0,1,0.0,0.0,0.0,51,51,51
107053,0,0,1,0.0,0.0,0.0,52,52,52
107509,0,0,1,0.0,0.0,0.0,53,53,53
107897,0,0,1,0.0,0.0,0.0,54,54,54
108379,0,0,1,0.0,0.0,0.0,55,55,55
108881,0,0,1,0.0,0.0,0.0,56,56,56
109013,0,0,1,0.0,0.0,0.0,57,57,57
109169,0,0,1,0.0,0.0,0.0,58,58,58
109253,0,0,1,0.0,0.0,0.0,59,59,59
109367,0,0,1,0.0,0.0,0.0,60,60,60
109589,0,0,1,0.0,0.0,0.0,61,61,61
109873,0,0,1,0.0,0.0,0.0,62,62,62
110753,0,0,1,0.0,0.0,0.0,63,63,63
111271,0,0,1,0.0,0.0,0.0,64,64,64
111751,0,0,1,0.0,0.0,0.0,65,65,65
111827,0,0,1,0.0,0.0,0.0,66,66,66
112253,0,0,1,0.0,0.0,0.0,67,67,67
112901,0,0,1,0.0,0.0,0.0,68,68,68
113041,0,0,1,0.0,0.0,0.0,69,69,69
113093,0,0,1,0.0,0.0,0.0,70,70,70
113117,0,0,1,0.0,0.0,0.0,71,71,71
113843,0,0,1,0.0,0.0,0.0,72,72,72
114083,0,0,1,0.0,0.0,0.0,73,73,73
114199,0,0,1,0.0,0.0,0.0,74,74,74
114217,0,0,1,0.0,0.0,0.0,75,75,75
114859,0,0,1,0.0,0.0,0.0,76,76,76
115099,0,0,1,0.0,0.0,0.0,77,77,77
115837,0,0,1,0.0,0.0,0.0,78,78,78
115853,0,0,1,0.0,0.0,0.0,79,79,79
115861,0,0,1,0.0,0.0,0.0,80,80,80
116167,0,0,1,0.0,0.0,0.0,81,81,81
116341,0,0,1,0.0,0.0,0.0,82,82,82
116731,0,0,1,0.0,0.0,0.0,83,83,83
116789,0,0,1,0.0,0.0,0.0,84,84,84
