k,N_over_k_minus_1
1,2519
2,1259
3,839
4,629
5,503
6,419
7,359
8,314
9,279
10,251
12,209
14,179
15,167
18,139
20,125
21,119
24,104
28,89
30,83
35,71
36,69
40,62
42,59
45,55
56,44
60,41
63,39
70,35
72,34
84,29
90,27
105,23
120,20
