k,N_over_k_minus_1
1,27719
2,13859
3,9239
4,6929
5,5543
6,4619
7,3959
8,3464
9,3079
10,2771
11,2519
12,2309
14,1979
15,1847
18,1539
20,1385
21,1319
22,1259
24,1154
28,989
30,923
33,839
35,791
36,769
40,692
42,659
44,629
45,615
55,503
56,494
60,461
63,439
66,419
70,395
72,384
77,359
84,329
88,314
90,307
99,279
105,263
110,251
120,230
